name,rating,description,adress,web_site,good_1,good_2,good_3,bad_1,bad_2,bad_3
Gärten der Welt,4.5,Park,"Blumberger Damm 44, 12685 Berlin, Germany",gaertenderwelt.de,"It’s a huge park with different themes of garden. I personally enjoyed the Chinese Garden the most! A lot of cafes inside the park are closed. I can imagine the vibe would be really nice when everything is opened!
I recommend buying the bundle ticket so that you can also take the cable car.
You can definitely spend half a day here.","A fabulous day out, especially in late spring, when so many flowers are in bloom. The park is very extensive, with lots of different attractions for all ages. You could easily spend all day in here. The individual ""gardens of the world"" are each special in their own way, and the cable car ride gives a unique view of the park as a whole and the public park next to it. Well worth the entrance price. The whole park has been created with a lot of love and extreme attention to detail.","Great place for family.

It’s spacious with different amusements.

Water park, water playground, playground and gondola are really enjoyable.

We had a great day today and we didn’t even explore the whole park.

We will definitely visit again.","This is what you get for 7€, you can rather go to a park for free and have the same experience. Everything was dry, the gardens were empty and weed was everywhere

Plus there are no tickets for students",Very bad experience. The workers are extremely rude. It looks amazing but all of it is way to far apart  if you are there 5 hours 4 of them have been walking across grass towards a diffrent part. Cable car workers very rude is closed most of the day,"The grumpy staff did not allow my co-worker (with visible disability) to bring her own mobility aid into the garden, which meant she was unable to see the gardens at all, since she can't walk long distances. Don't bother going here if you are in a similar situation."
Kindercafé Spielzimmer,3.8,Childrens cafe,"Schliemannstraße 37, 10437 Berlin, Germany",spielzimmer.berlin,"Very cosy, friendly and perfect for children at any age! We can’t wait to visit the place again!","It's among the very little places available for kids in winter in Berlin, ans so it can become quite busy.
And one must even wait outside for their turn. Not their fault of course, it's all about the capacity of the place.
They care to check people entering according to corona regulations.
My kids love it, small area for small kids and one for big kids.
Food is good too.
All in all we like it there.
One can make a birthday nicely there too!",The ambiance is perfectly suitable for children and the people are very friendly,"Very unfriendly staff. Our baby wanted to meet other kids and play, but the person who was working there told us rudely no. Also we were asked to sit by the windows without moving. Maybe they had a lot if people but then why allowing entrance at the first place? Could have been friendlier… we just left!","We had a really bad experience. Staff was unfriendly, insisted that we had to go to the cash machine (you can't pay by card) to pay the 2 Euros hourly 'kids fee', although we arrived 20 minutes before the place closed. One of our bottled drinks was expired. The place itself was not very charming but probably fun for kids to play.","I would like to be as constructive as possible in this review. The coffee shop has A LOT of potential and it is well equipped for the babies and moms/families visiting. It is a great place and very well located. I hope the owners of this place take some time to do some customer service improvements. After my last experience I will not be coming back not would I recommend this place due to the lack of tolerance and respect from the girl working in the cafe during the day.

It is very unfortunate that the girl who works there is just not friendly at all nor has compassion and manners to deal with the customers. She lacks customer service and friendliness that is needed in a place like this. I went there last Thursday with three other moms and unfortunately, we lasted about 3 min before walking out and leaving, she was rude and seemed to be having a bad day. In the end, when we left, she went outside to sit down on the outside bench to be on her phone. So even if she had other tasks, she wasn't working on them.

From leaving the baby wagons outside to asking us not to remove the face masks at all and let's add the rudeness of her attitude!  Here are my recommendations for the owner in specific of what we dealt with:

1- Add a handrail to be able to lock the baby wagons outside
2- You could even make some money if you rent locks for 1-3€ for those who come without one
3- We know rules have changed during this time of COVID, in suggest printing them and having it on the wall/window for customers to see/read
4- Change your staff working to someone who is kid-friendly and is willing to go the extra mile for people coming to your coffee shop.

During this time of uncertainty, we have all learned to be more compassionate and friendly in general. Moms/Parents are already struggling and it is just a terrible treatment to come to your coffee shop and feel unwelcome. From the other reviews, it seems that we aren't the only ones with the same opinion.

If the staff changes please let us know so we can make an effort to come back to your place!"
Großer Tiergarten,4.6,Park,"Str. des 17. Juni, 10785 Berlin, Germany",berlin.de,"Beautiful garden/ park to walk around in. I must have walked at least 5 km in and around the park and saw ponds, bridges, monuments, beautiful autumn colours and happy bouncing dogs playing fetch. Brings sheer joy to your heart. And all of it is free. But bring some cash/ spare change in case there's someone singing to make some money and you'd like to donate. You can't hear the traffic even though it's in the city. Loved this place.",The extension of Tiergarten includes Victory Column and some very nice art work. On other side it is bound by canal. It has a very nice cafe too. Green and with all amenities it is perfect place for day picnic and morning walk. On a sunny day people can be seen relaxing and enjoying sun.,Great park with both gravel and paved trails. Beautiful gardens and statues scattered about the park and close to many tourist attractions. Always good to bring a rain jacket.,"Terrible, the water slides were closed and people weren't social distancing.","West side oIt's very dirty place, there is human waste carefully camouflaged everywhere,",I don't understand how can to be red stars and sowjet symbols in public.
Britzer Garten,4.7,Garden,"Sangerhauser Weg 1, 12349 Berlin, Germany",britzergarten.de,"We have been there a few times in different seasons, and we always have a great experience. There's a lot to see and do, with the child or without. A lot of food/drink spots, a beautiful lake with huge fish, several huge playgrounds, nice sun chairs to relax when you don't need to run after a small human. Right now it's Dahlia season and they are awesome.",great and fun place to take in Nature. There are exhibits. Facilities area clean. Bring a Snack and some Refreshments with you. Many places where you can sit and just space out and take in the beauty of this Garden. It's worth a visit if,"Beautiful location to fully spend a day to relax & chill with family or friends, entrance ticket 3 euros & accessible via bus from the train stations.
Seasonal flowers are there so you can check first & explore during different seasons:)",Charges a fee for entrance - should be stated upfront!,"Terrible experience. It could be one of the best places to go in Berlin, but there's simply way few parking facilities around it. We spent almost an hour trying to find a spot to park our car and when we finally succeeded, it turned out that the way to the nearest entrance was blocked by section closed for road maintenance. We could see the gate, but couldn't get through as they didn't leave a small pathway open for pedestrians. We had to walk for another 20 minutes to finally get in.",How can dogs not be aloud in a huge green area. Not helpful staff.
Samurai-Kids Berlin - Kinderkarate,5.0,Karate school,"Grabbeallee 86, 13156 Berlin, Germany",samurai-kids.berlin,"(Translated by Google) Our child has been going to the Samurai Kids for 3 years and he has a lot of fun. I really recommend it.

(Original)
Unser Kind geht seit 3 Jahre zu den Samurai Kids und es macht ihm sehr viel Spass. Ist wirklich zu empfehlen.","(Translated by Google) I think the safety training is especially great!
The children learn to deal well with sensitive situations and strengthen their self-esteem!

(Original)
Ich finde das Sicherheitstraining besonders toll!
Die Kinder lernen gut mit heiklen Situationen umzugehen und stärken ihr Selbstwertgefühl!",,"(Translated by Google) Our child has been going to the Samurai Kids for 3 years and he has a lot of fun. I really recommend it.

(Original)
Unser Kind geht seit 3 Jahre zu den Samurai Kids und es macht ihm sehr viel Spass. Ist wirklich zu empfehlen.","(Translated by Google) I think the safety training is especially great!
The children learn to deal well with sensitive situations and strengthen their self-esteem!

(Original)
Ich finde das Sicherheitstraining besonders toll!
Die Kinder lernen gut mit heiklen Situationen umzugehen und stärken ihr Selbstwertgefühl!",
Park at the Track Triangle,4.5,State park,"Möckernstraße 26, 10963 Berlin, Germany",gruen-berlin.de,"Really big park, with lots of grassy areas. We played some spikeball under a bridge to hide from the rain. But under the bridge was grassy as well, and there are also chalestenics bars and a tiny skate park, even ping pong tables. It's a great spot to chill or play some sports if you're near the middle of Berlin.","One of my favourite parks in Berlin! Its location is great, very close to Potsdamer Platz. There are couple U/S-Bahn stations around, made it easy to reach. It is a huge park, great for training, jogging or just have a walk.

The park also offers different playgrounds, basketball/football fields, skateboarding, ping-pong tables, a sand volleyball field, cafés, a beerhouse and many more to be discovered. This is a perfect place to hang out with friends or family at the weekend or after work.","Originally our idea was to walk through the park to a nice Greek restaurant. However, the park changed our minds. On our way we saw multiple baby rabbits, epic. And it was like a message from above because all of a sudden a massive rainfall started.

This forced us to go to the bar in the center of the Park where we enjoyed some real German beers. I would definitely recommend to go here, if it's on your route to another place.",You can't take two steps without stepping from one cloud of weed smoke into the next :(,Overcrowded but we'll designed,Ugly park
Children's Farm on the Görlitz e.V.,4.3,Farm,"Wiener Straße 59B, 10999 Berlin, Germany",kinderbauernhofberlin.de,"We’ve been there many times and my kid still loves it, even in the winter. There’s a nice playground on the back with climbing walls and some balancing tracks. A tip if you want to feed the goats and sheep, make sure you go earlier than and hour before closing time, because they do run out at some point!","This place is great for kids. There are donkeys, ponies, goats, chickens and Guinea fowl. Really nice to visit on a sunny day.",Very happy children around animals in the middle of the city,"On google maps it is open (Saturday) and in reality it is open only for children older than 6, who should climb the fence to enter! Wirklich?",Bad,"(Translated by Google) Typical Kreuzberg: no bags of food, no coffee, nothing organized. There is also nothing for the children to stroke. The Pinkepanke children's farm is much better and more family-friendly.

(Original)
Typisch Kreuzberg: keine Futtertüten, kein Kaffee, nichts organisiert. Zum Streicheln gibt es für die Kinder auch nichts. Da ist der Kinderbauermhof Pinkepanke wesentlich besser und familienfreundlicher."
Urban Nation,4.7,Art museum,"Bülowstraße 7, 10783 Berlin, Germany",urban-nation.com,"It was such a beautiful experience- you can not only find out really interesting facts about history of black people in Berlin, but also feel the unique vibe of street culture. I really loved vibrant paintings and photos! Also the room with walls all covered in graffiti makes a perfect photoshoot location. Bonus points for the WC- it's a little bit hidden (but revealing it here feels like stealing a part of a experience from the future visitors).","I visited this gallery couple if days ago, it was hosting then the photography world of  „Martha cooper“, I was very impressed specifically with the „ street play“  and „ Graffiti section“… a beautiful and well organized Gallery , would definitely revisit in the future",Impressive urban art gallery. The pieces of art that are present there definitely worth attention.,I am standing in front of your closed doors. I have been driving 55 minutes for this. Not mentioned anywhere on your website. Absolute zero for customer service.,"(Translated by Google) Bad service, not worth it,
There are much better ones

(Original)
Κακή εξυπηρέτηση, δεν αξίζει τον κόπο,
Υπάρχουν και πολύ καλύτερα","(Translated by Google) The eh beautiful Bülowstraße made through the ""art"" not really beautiful. Total proliferation of optically appealing way!

(Original)
Die eh nicht schöne Bülowstraße ist durch die ""Kunst"" echt nicht schöner geworden. Totaler Wildwuchs der optisch nicht ansprechenden Art!"
Madame Tussauds Berlin,4.3,Wax museum,"Unter den Linden 74, 10117 Berlin, Germany",madametussauds.com,"This museum is absolutely outstanding! I never expected it to be that big and have that good quality wax figures! It was as if I could meet famous people and my favorite movie characters in real life! All the figures are so realistic, it's crazy. I really loved that all the exhibits were sorted by themes, like German celebrities, world famous football players, scientists and musicians, pop singers etc. Each figure was surrounded by cool and creative decorations that were really conductive for taking amazing pics! The price might appear quite big, but it's definitely worth it! And you can also get student or children discounts:).","Interesting experience.I have never been in such museum before so I definetely recommend to visit one, even if in different city.

Part with actors is too small And some of them are not very similar to real people (at least less similar with the same actors but in films), but some are very good.You can take free pic of one statue near entrance.",I believe place. The sculptures are so realistic and so interesting. I paid € 28 for 2 student tickets. People yous need to visit this place it’s incredible!! Would defo recommend. Staff very friendly too!!,"Didn't hate it! It's just for the money charged, 50€ for two! You could walk through it in 10min! I fully understand that in view of covid not all of it was open! Which I think should be adjusted in the price! 🤷‍♂️",Overrated. Short. Full of fools taking photos of themselves with lumps of wax. A true tourist rip off at over €20 per person. We felt less ripped off as it was included with the welcome card. There are plenty of incredible things to see in Berlin. Give this one a miss.,The costumer service was very bad. Multiple people got to cut in line in front of us because “we had more time” (to wait) they did not prioritize their walk-in costumers.... and very very unprofessional.... I do not recommend it... but if you really want to see a bunch of wax figures go for it.....
Zeiss Major Planetarium,4.6,Planetarium,"Prenzlauer Allee 80, 10405 Berlin, Germany",planetarium.berlin,"The place is really cool and the staff is engaged and super helpful. You can get some snacks and drinks out of an Automat for fair prices.

We watched the new Voyager show and it was really informative. Can only recommend it. Also for Kids.","Great place for families! Tickets for adults 9.5 Eur, with reduction 7.5 Eur, for smaller kids for free. Shows delivered in DE or ENG language.",Went for a free concert for the Fete de la Musik festival. The planetarium has great quality in what is projected. Really likes the experience of live musik and vivid visuals.,"The ""English"" show was not actually in English. Half of it was told in German. There's a short video that you can get a physical translator for. They made us go get it during the show. Having walked downstairs the workers told me I was too late because the show had already started. The person behind me during the show complained about the light coming from the translator device.
Having most of the show be in German, it left early","We have checked the program with the right date and time;arrived half an hour prior to the performance time,the receptionist asked us to wait for five minutes away as there is no available couple places and she will check and solve it to us
After waiting for give minutes,we went back for her , surprising sold all other people the tickets and inform us that the tickets are sold

We are forigieners came from another country and that's what we have received! Informality and unprofessionalism and even after informing her that she was the reason
She replied sorry but no solutions ,do whatever you want
!!","This nice place but the people who work here looks unhappy, unhelpful. We are tourists from America and we expect information in English as world wide common language. The workers didn't provided with headphones. It's nothing written in information desk. I'm very disappointed."
Treptower Park,4.6,Park,"12435 Berlin, Germany",berlin.de,"Berlin without the Treptower Park would not be Berlin. A muss in the summer. Very diversified designed. From the beautiful beer garden to small cozy ice cream parlors as well as Soviet Memorial over relaxing large lawn. It is one of the most beautiful places in Berlin...
PS. By the way, the corn and latte tasted excellent👌!","Amazing place in Berlin, definitely one of my favorite! Super calm, easily accessible from public transportation! There is lot of green places and trees to read a book or listen to music too.
The historic value is amazing! Definitely a go to place if you are visiting the city.","Amazing feeling while wishing this place.
Also the park is just relaxing, lovely restaurants and beer gardens.
The canals are perfect touch to the whole environment.","What is this monument to Stalinism doing in the center of free Berlin 75 years after the war?  Since then, Russia has sparked dozens of more wars.","Really noisy and crowded and full of dirt evrywhere, its not what it used to be. There definitely much better parks in Berlin",Park with memorial of totalitarian regime. Sweet.
Checkpoint Charlie,4.0,Historical landmark,"Friedrichstraße 43-45, 10117 Berlin, Germany",berlin.de,"Despite this place probably being overrated I really enjoyed my time here, so much that I can’t not give it five stars. The historic significance of this place and all the little details that they’ve added made it a really cool experience. Also make sure to checkout the museum gift shop, best souvenir gift shop I’ve seen in a long time","This has to be one of my favorite historical places in Berlin for me.

The reason is that it conveys the message of that cold war era Berlin where we had divisions and how things have improved for good now.

It gives me hope that if people get united then we can definitely break all the borders and u it together as a single nation comprising of different race, ethnicities and religions.

This is a must visit especially during the day so you can capture better pictures 📸","I enjoyed my time here, as we passed by this landmark during my walking tour. I would recommend to go on a tour or at least have some knowledge/context on what took place and why this landmark is important. I think without the context, it would be less enjoyable.
However, there is a mini gallery/timeline outside across the street with the history of the Berlin Wall to visit if you need more information as well as a paid museum.","Was in Berlin last week and thought of visiting checkpoint Charlie. Beware of a group of 4 to 6, some identified in the photo trying to trick and scam money out of unsuspecting tourists with their ""box shuffle"" game. Their plot was very persuasive and crafty. At first I was not interested or even paid any attention to their commotion. I was standing under the pole with the picture of the Russian soldier taking this picture. Then they, (faces circled in picture) asked me to join, which I declined with a hand gesture. Then the guy with the walking stick approached me and just handed a hundred Euro to my hand, while ushering me to join. Then they all in one unison was 'bombarding' me to chip in some money. It was muddling to me with everyone saying things like 'its jackpot', 'come on' all at once. Foolishly I gave them some money and now they all persuaded me to pick the boxes. I tried to get out at this stage but realized it was already too late. The guy the walking stick even prevent me stepping back with his stick. I delayed picking the boxes to the point where the game dealer has to lift the board to my face at which I have no choice but pick a box.  When I asked for my money, they said you lost. Just sharing the story so that others can be warned and avoid my foolish mistake. This people make an otherwise decent tourist spot into a bad experience. You can see in the picture the lady putting money inside her purse. This was before I got scammed, so I don't know how many unsuspecting tourists got tricked of their money that day. May you reap what you sow.","There is one photo I uploaded that sums up this iconic landmark - ""Checkpoint Cheesy"" displayed in McDonald's.

The place is nothing more than a tacky tourist spot. There is a small museum on site that explains its significance, but that is the only redeeming feature.",Waste of time and money. Guys wearing Ray bands in non period uniforms. 6 euro for a pic. The real history and significance is lost. The East Berlin border is gone. The tension and atmosphere is distracted by tourists running in and out of passing cars to get a fake picture. Really don't bother.
Magic Mountain (Climbing / Bouldering),4.6,Rock climbing gym,"Böttgerstraße 20, 13357 Berlin, Germany",magicmountain.de,Great climbing space! Very competent staff and awesome routes. Definitely a lot cleaner than other climbing gyms I've seen so far.,"Lovely and best indoor/outdoor climbing gym in Berlin. Good selection of both indoor and outdoor walls, and a small nice shop & cafe. Staff is friendly and knowledgeable. Had our English language lead climbing courses here, which were great!","Very big and well equipped place. The staff is nice and helpful. In addition to the climbing and bouldering areas, they have a small gym for doing strength and cardio, a sauna, a steam room. Showers, toilets and lockers are available (but bring your soaps).","(Translated by Google) The Hall is still a nice climbing experience, for everyone who likes climbing. When I wanted to climb again with a colleague after a long break, the receptionist wasn't convinced that I still mastered the safety technique (despite showing my top rope certificate). I was immediately recommended to attend a new course for 150 euros. But when I was able to demonstrate in practice that everything was still in control, the topic was reluctantly off the table. Then my climbing harness was criticized for being so old. The belt is less than 10 years old and in good condition. So no chance of a sale here either. But eventually my belay device was judged to be unfit and no longer legal and allegedly there have been many accidents involving this type of belay. Can't confirm, I climbed with it for a few years without any problems. But now you had an approach to make money. I was forbidden to climb with the device, I first have to receive training in the new device in the form of a trainer hour for 80 euros per person and then I would also need a new device. From the point of view of the employees, there was no other possibility. And with that, I let myself drip off. My colleague and I were then at least allowed to boulder. Registering in the system via QR code did not work either and had to be entered manually. After bouldering we wanted to spend some time in the sauna, but unfortunately that didn't go smoothly either, as the sauna had to be heated up first.
My conclusion about Magic Mountain: if you are not willing to constantly invest a lot of money in trainer lessons or the equipment offered, you are not a welcome guest. A solution with the belay device might have been, I buy the new device in the hall and get a briefing from the house as a service. From my point of view, that would have been a win-win solution, but then the earnings would not have been as high.
It's a shame Magic Mountain, I don't think I'll be back, even if you're the only hall that size.

(Original)
Die Hallist nach wie vor ein schönes Klettererlebnis, für alle die gerne Kletter. Als ich letztens wieder mit einem Kollegen nach doch längerer Pause klettern wollte war man am Empfang nicht davon überzeugt, dass ich die Sicherungstechnik noch beherrschen (trotz Vorlage meines Top Rope Scheines). Man hat mir gleich empfohlen, für 150 Euro, einen neuen Kurs zu besuchen. Als ich aber praktisch vorführen konnte, dass alles noch beherrsche, war das Thema widerwillig vom Tisch. Dann wurde an meinem Klettergurt bemängelt, er wäre schon so alt. Dabei ist der Gurt keine 10 Jahre alt und im guten Pflegezustand. Auch hier also keine Chance auf Verkauf. Aber schließlich wurde mein Sicherungsgerät als untauglich und nicht mehr zulässig bewertet und angeblich gab es schon viele Unfälle mit dieser Art der Sicherung. Kann ich nicht bestätigen, ich bin einige Jahre damit geklettert ohne Probleme.  Aber nun hatte man einen Ansatz um Geld zu machen. Mir wurde verboten mit dem Gerät zu klettern, ich müssen zunächst eine Beschulung mit dem neuen Gerät erhalten und das in Form einer Trainerstunde für 80 Euro pro Person und dann bräuchte ich ja auch noch ein neues Gerät. Eine andere Möglichkeit gäbe aus Sicht der Angestellten nicht. Und damit ließ sich mich dann auch Abtropfen. Mein Kollege und ich durften dann wenigstens noch bouldern. Das Registrieren im System via QR Code klappte dann auch nicht und musste langwierig manuell eingeben werde. Nach dem bouldern wollten wir dann noch etwas in der Sauna verbringen, auch das lief leider nicht reibungslos, da die Sauna erst noch angeheizt werden musste.
Mein Fazit zu Magic Mountain: wenn man nicht bereit ist ständig viel Geld zu investieren in Trainerstunden oder angebotenes Equipment ist man kein gern gesehener Gast. Eine Lösung mit dem Sicherungsgerät wäre vielleicht auch gewesen, ich kaufe das neue Gerät in der Halle und bekomme eine Einweisung vom Haus als Service. Das wäre aus meiner Sicht eine Win Win Lösung gewesen,  tja aber dann wäre der Verdienst nicht so hoch gewesen.
Schade Magic Mountain, ich glaube ich komme nicht wieder, auch wenn ihr die einzige Halle in der Größe seid.","(Translated by Google) A bit exhausting staff, very expensive to rent equipment, card payment only from 10€ ridiculous in the 21st century for the size of the company.

(Original)
Bisschen anstrengendes Personal, sehr teuer  Equipment auszuleihen, Kartenzahlung erst ab 10€ lächerlich im 21. Jahrhundert bei der Unternehmensgröße.","(Translated by Google) Totally unsuitable for 10 guys. Not recommended at all.

(Original)
Total ungeeignet für 10. Jungs gar nicht zu empfehlen."
Tempelhofer Feld,4.5,State park,"Tempelhofer Damm, 12101 Berlin, Germany",tempelhoferfeld.berlin,"It's a Fun place to visit. You can ride your Bike or chill on the grass. Bring a Beverage and get a Tan. :)
You can grab a bite to eat. The Food was really good and was the Beer.
During the Summer it's very popular on the Weekends

As a kid I used to Fly from this Airport.","It is a brilliant 😉 place to hang out with friends or enjoy different sport like cycling, inline skates, skate board 🛼⛸️, flying kites 🪁 have a picnic 🧺 with the family, grill during sunny days too.

Love of the concept of utilizing the old airport for such a beautiful social place.","I love this place.
Formerly an airport, now used for recreation purposes.
Shows are held in the Concert area, while the runway is used for flying things like kites, or riding bicycles etc

One thing I also love is separating the grilling area from the other areas, so you can grill without disturbing others.
Its a massive place and entry is in different areas and free.
Parking on the street adjacent to it is free, however, parking spots are hard to come by.","Beautiful vast space for as good as everything. Anecdotally:

Beware of the bicyclists. Some of them take their training matters too seriously. Three persons I know of hospitalized due to biking accidents - i.e. pedestrian ran over by bicyclist. Some drive recklessly and try to increase their best times. Sometimes they run into people with 50km/h plus. Not often, but can happen. And it won't appear in the police news.","I just don't get why people love an abandoned airport so much! It's exactly as you would imagine an empty airport field to be, so if that interests you then you should definitely go for it! But to me it's literally just a flat empty space; hot in the summer with no shade and cold and windy outside of summer 🤷 but then, I've only ever visited during covid, so maybe there's more to it...",Horrible service. Took them 2 hours to change tires. Moreover I had to stay 20min in a queue while the office personnel were talking with each other instead of working. Don't go there!
Alexanderplatz,4.2,Plaza,"10178 Berlin, Germany",berlin.de,Alexanderplatz ! Shopping Destination with 100 Brand Shops and food Chain with full Crowd than other part of City. Also Good for Window Shopping 😀I visit twice to find some stuff but unfortunately can’t find.Over all good 👍 place to visit,"Alexanderplatz in Berlin is a lively and wonderful place ❤️ Everything is close and available ☕🥐🥖🚍 Cafes, restaurants, tourist buses and all transportation from taxi, metro and collective bus 🇩🇪 also there are hotels, restaurants and bakeries here 🙈 Good result  To search for a tourist place and a lively place 🥰✔️🚴","A very lively place to spend time. Being a first time visiter, The vibe in this centre was pretty  intense. The place have all connection possible public city transport (S, U, Tram and Bus). Being a Tourist like me you can start your trip from here and a walk will take you to most of the important places.The Alexa mall is also very close and you is also a good stop for the shoppers. There are plenty of eatries here for a quick bite.","The worst place in all Berlin. It's ugly, dirty and with too much people. It has no character, since the shops and eating places can be found in many other places in Germany and Europe.
The TV tower while good is very expensive, you can have very good view at a much lower price from the victory column.
The only good thing about the place is the public transport stop, since you have several s-bahn, u-bahn and bus stops there, with connection to the airport.",If you must. But else: don't go there. Berlin has a few nice squares and places. This isn't one of them.,"Probably the most famous area in Berlin, yet the less inspiring. It looks dirty, it's over crowded and the locals are not really representatives of the charms of Berlin."
Potsdamer Platz,4.4,Plaza,"Potsdamer Platz, 10785 Berlin, Germany",potsdamerplatz.de,"Have been here countless times and I am glad to see the frequency is picking up again after the pandemic. Lots of hotels, restaurants, coffee places in walking distance, a giant movie theatre at the nearby SONY centre (where you may run into a a premiere with a Hollywood star from time to time) and easy access via public transportation make this one of the countless Berlin highlights for both visitors and local residents. I highly recommend coming here with a coffee to go and take a stroll around.","We went there for the architectural part and we loved it. There are 3 glass-office buildings and the main square is incredible, specially went they turn in the lights.",This central plaza has a few panels of the Berlin Wall as an educational symbol for the Cold War and a reminder of people who lost their lives and their freedom during 1961-1989. “Imagine” by John Lennon rings in your mind! 🙏🙏🙏,Awful place and the waiter ( maybe owner) who was extremely rude  to us.  He showed us  the door because we ordered only one beer. I was with my friend and her daughter. You know the mother and child do not drink. No respect only profit. I do not recommend.,"The ugliest, most desolate place in Berlin. Do not come here for fun, you won't find any.",Too busy - real touristy - rather go to Friendrichshain or Kreuzberg or Neukölln my feel the real Berlin ;)
Nuture Mini ART Golf Berlin - Minigolf als Kunstpark -,4.4,Miniature golf course,"Columbiadamm 79, 10965 Berlin, Germany",nuture-art.de,Super fun and creative golf course for all ages and groups. Fun excuse to be outside and the features are all different and creative takes on traditional golf.,Very cool mini golf. The tracks are art peace’s so it’s kinda different from actual Minigolf. And don’t come to late it takes over an hour to go through everything.,"A very unique minigolf place! It's entertaining, creative and lots of fun. Beware, cash only.","We got here at 7pm, 1 hour before closing. And the woman at the kiosk wouldn’t let us play because she “didn’t want to go home in the dark”. She was rude and wouldn’t let us play even though we were within their opening hours. We rushed to get here and then couldn’t even play.",The brunette lady with the glasses was very rude. She says she doesn’t let anyone check in past 6PM even though it doesn’t say that anywhere on the website.,"(Translated by Google) A huge catastrophe, if you only want to play ambitiously ambitious mini golf, you will reach your emotional limits from hole 2. Some of the lanes are not maintained, the artists are anti-spelling aces, some lanes are designed so that they can only be done with one stroke and others cannot be done under normal circumstances. All in all, the 6 € can only be seen as a donation for the ""artists"" so as not to go completely through the roof!

(Original)
Riesen große Katastrophe, möchte man nur ansatzweise ambitioniert Minigolf spielen gerät man schon ab Bahn 2 an seine emotionalen Grenzen. Die Bahnen werden nicht gewartet funktionieren teilweise nicht, die Künstler sind Anti-Rechtschreib-Asse, Bahnen sind teilweise so konzipiert, dass man sie nur mit einem Schlag schaffen kann und andere sind unter normalen Umständen nicht zu schaffen. Alles in allem kann man die 6€ lediglich als Spende für die „Künstler“ sehen, um nicht komplett durch die Decke zu gehen!"
