asin,rating,reviews,stopwords,punctuation,hastags,numerics,upper,word_count,char_count,avg_word,Good_reviews,polarity,subjectivity
B07HBDNGHC,3.0,wenn man sich mittlerweile im bekanntenkreis umhört fällt immer ein wort man dem kind doch schenken kann und woran es freude hat tonieboxso haben auch wir uns diesem druck gebeugt und zum geburtstag eine toniebox mit kreativtonie angeschafft die verwandtschaft und freunde bekamen einfach nur den hinweis dass diese doch einfach einen tonie schenken können macht die toniebox besonders und beliebtgenau genommen ist es einfach nur ein lautsprecher mit einer nfc schnittstelle welcher gut gepolstert wurde und durch süße figuren die kinder ihren bann zieht der erfolg und das besondere ist das ökosystem der tonieboxdie figuren gibt es mittlerweile fast überall zu kaufen und diese werden nur im sonderangebot oder mit rabatten etwas günstiger und sind sonst sehr wertstabil auch der gebrauchtwarenmarkt sieht da nicht anders aus die meisten figuren findet man gerade einmal um die versandkosten reduziert vom originalpreises gibt für nahezu jeden beliebten kinderklassiker eine toniefigur und durch das bespielen des kreativtonies kann man zudem seinen ganz eigenen stil mit einbringenwir haben unseren kreativtonie einfach mit einem von uns gesungenen happy birthday lied bespielt und unser sohn hat dies dann beim daraufstellen des tonie ganz verblüfft gehörtauch die verwaltung der box geht durch die wlan verbindung und das sehr gute webportal bzw die app echt richtig gut und hat man alles durch von seinen tonies kann man online mit einem klick einfach neue geschichten und hörbücher zu seinem tonie hinzufügendas ganze kostet natürlich auch welche folgekosten können entstehendie toniebox sich ist schon nicht günstig aber aufgrund der guten software und verarbeitung ist der preis noch ordnung einzelne toniefiguren kosten 12 bis 15 und sind nur mittels rabatten mal etwas günstiger zu bekommen 10 holt man sich also ein paar figuren ist man sehr schnell bei über 100 und das ist erst der anfanghat man alle geschichten bzw lieder der toniefigur durch wird es schnell langweilig manche gehen nur 30 minuten und andere bis zu 90 minutenonline kann man seine toniefigur mit zusätzlichen material erweitern die sogenannte audiothek schafft schnell abhilfe bei langeweile und kann der toniefigur neue inhalte geben manchmal sind es 30 minuten und manchmal auch bis zu 90 minutenmöchte man nun beispielsweise alle benjamin blümchen hörbücher sich holen kommt man auf 142 mal 6 eurowie man sieht kann man hier ordentlich geld lassen wenn man sich der audiothek austobt und das sollte jedem auch bewusst sein nur alleine die toniefiguren reichen dem kind nicht dauerhaft und immer den kreativtonie mit hörspielen usw zu bestücken kann auf dauer auch sehr mühsam werden spielvergnügen und handhabungverarbeitet ist die toniebox sehr gut diese kann herunterfallen und trägt keinen schaden davon durch eine gute polsterung die bedienung ist einfach und intuitiv dass das kind es sehr schnell versteht man kann die maximale lautstärke begrenzen via einstellungen oder einfach mittels klinkenanschluss kopfhörer anschließendie toniefiguren sind nicht nur datenträger sondern auch sehr liebevoll und detailgetreu verarbeitet dass man damit auch wunderbar spielen kann das einfache daraufstellen und abnehmen der figuren beherrscht jedes kind durch ein einfach kippen der box kann man vor und zurückspulenleider ist das exakte finden von liedern oder stellen wo man gerade hinmöchte durch das fehlende display nur schwer möglich aber kein display kann somit auch nicht kaputt gehen würde ich die toniebox empfehlenaktuell ja wenn man auch bereit ist geld auszugebenein paar essentielle funktionen wie beispielsweise eine remotesteuerung via handy app fehlen aber gänzlich ist es uns nicht möglich die toniebox einfach via handy auszuschalten wenn unser sohn eingeschlafen ist anbetracht des preises leider enttäuschend fazitdesto populärer etwas wird desto höher wird der preis die toniebox ist aktuell wohl eins der populärsten spielsachen einem altersbereich von 27 jahren und dementsprechend teuer ist auch das gesamte ökosystem die möglichkeit der audiothek ist super um einen gekauften tonie neue inhalte zu gebennichtsdestotrotz kommt man aktuell einer toniebox nur schwer vorbei und ist natürlich auch gewollt das eigene kind glücklich zu sehen und öffnet das portemonnaie entsprechend weiterin sachen verarbeitung und wie man die toniebox steuert bzw via browser und app verwalten kann ist es aktuell konkurrenzlos gutunser sohn spielt gerne mit der toniebox und singt auch immer mit bzw kann sich damit gut beschäftigen daher war es auf jeden fall eine gute und lohnenswerte investition und die ganze familie hat nun immer ein notfallgeschenk wenn denen nichts anderes einfälltich hoffe meine rezension war nützlich und konnte hilfreich sein folgekosten im auge behalten,352,83,0,10,2,722,4773,5.6,0.0,0.55,0.86
B07HBDNGHC,3.0,das enkelkind mag seine toniebox aber auch nur weil es keine hörspielkassetten kenntunserer kinder konnten ihre lieblingsgeschichten und lieder noch vor und zurück spulen ein tonie kann nur laut und leisees brauchte auch keine figur das coverinlay der kassette enthielt alles wichtigebei der anschaffung kassettenrekorder hörspielkassetten konnten die kinder noch eine menge taschengeld sparen heute brauchen die eine saftige taschengelderhöhung damit sie sich auch nur ein weiteres tonie zulegen könneninsgesamt recht teuer,34,15,0,0,2,72,524,6.3,0.0,0.0,0.0
B07HBDNGHC,3.0,erster tonie ließ sich nicht mit dem wlan verbinden es war nicht das erste mal mit diesem produktumtausch wie immer bei amazon problemlosverbindungsprobleme,12,4,0,0,0,23,156,5.8,0.0,0.0,0.0
B07HBDNGHC,1.0,zu aller erst der händler bei dem wir die box bestellt haben ist sehr hilfreich und zuvorkommend gewesen hier daumen hoch zur box ich habe selten ein absolut schlechtes produkt wie die beliebte und weit verbreitete tonibox gesehendie installation selten etwas mühsames eingerichtet wie diesen schwachsinn übers handy und die app bekommt man und nur fehlermeldungen über den pc dauert es lange und ist zermürbend denn wenn eine fehlermeldung kommt muss man den installationsprozess von vorne beginnenman braucht übrigens für die normale benutzung der box immer internet der offline modus funktioniert nur die selbst aufgenommenen audios die ganze box schon einmal vollkommen ungeeignet für reisen oder urlaube machtdie verarbeitung ist dermaßen unter jeder kritik die drucksensoren reagieren nicht nur oft falsch sondern schlecht man muss richtig fest darauf schlagen damit man vor oder zurück spulen kannwir dachten dass unsere tonibox fehlerhaft sei und tauschten sie gegen eine neue um nein es ist bei allen gleich schlechtwie man mit einem absoluten müll dermaßen viel erfolg haben kann ist mir ein rätsel ich kann nur allen eltern schwerstens davon abratenfinger weg von dieser abzocketonibox wie man mit müll erfolgreich sein kann,96,26,0,0,5,189,1235,5.5,0.0,0.6,0.9
B07HBDNGHC,3.0,leider hat die toniebox nach einem halben jahr bereits einen riss ohr da wo man die lautstärke reguliert dadurch spinnt die box ich habe den verkäufer kontaktiert und warte derzeit noch auf seine rückmeldung danach lasse ich euch wissen wie es ausgegangen istleider schon spinnen,21,4,0,0,0,45,279,5.2,0.0,0.0,0.0
B07HBDNGHC,3.0,ich würde nicht nochmal eine tonie box kaufensie ist super intuitiv schon für kleinste kinder zu bedienen unser kind wusste schon mit 18 monaten ganz genau wie es funktioniert und die auswahl tonies ist riesig das war aber auch schon das negativeich würde mir eine timer funktion oder einen schlafmodus wünschen unser kind hört damit zum einschlafen musik die lautstärke bleibt aber immer konstant laut und der ganze tonie muss durchgehört werden bis die box ausgehthier wäre es toll wenn man über die app einstellen könnte das es langsam ausklingt und leiser wird muss immer ins kinderzimmer schleichen und den tonie von der box nehmenwas ich noch schlimmer finde ist dass der ladekontakt nicht immer funktioniertwenn die led orange leuchtet ist der akku schwach ich stelle dann die box auf die ladestation und verlasse das zimmerjetzt ist es mir aber schon zig mal passiert dass ich abends die box anmachen wollte und die led immer noch orange leuchtete box wurde offensichtlich nicht geladenman muss also die box auf die station stellen und warten ob das signal kommt das sie geladen wird klappt bei uns auch nicht immer und die box muss hochgenommen und erneut aufgestellt oder gedreht werdenalles allem überteuertes produkt zumal es ähnliche modelle bereits beim discounter für wesentlich weniger geld gibtnicht zufrieden,102,21,0,1,2,214,1326,5.2,0.0,0.51,0.82
B07HBDNGHC,3.0,das produckt ist klasse der versand war sehr schnell uns nicht gefallen hatt war das es nicht verpackt war sondern im originalkarton verschickt wurde auf dem nun der versandaufkleber klebt bei einem geburtstagsgeschenk nicht gerade ansehnlich istproduckt super verpackung leider schlecht,21,7,0,0,0,41,287,6.0,0.0,0.33,0.67
B07HBDNGHC,2.0,sehr nervig wenn der preis täglich schwanken istdie preispolitik sollte verboten werden damit ist nicht nur die toonie box gemeintso nun leider paar tage zu früh überteuert gekauftpreis täglich schwankend,12,5,0,0,0,30,204,5.8,0.0,0.0,0.0
B07HBDNGHC,3.0,schwer zu installieren ist wieder nur für kurze zeitmuss man es haben,8,0,0,0,0,12,69,4.8,0.0,0.0,0.0
B07HBDNGHC,2.0,hallo amazon teamdie bestellten tonieboxen wurden einwandfrei geliefert und sind sehr beliebt bei unseren kindern allerdings ist der produkt support leider grottenschlecht eine toniebox schaltet leider nicht mehr den lautsprecherbetrieb und kann nur über kopfhörer abspielen die tipps von der tonie website haben wir erfolglos versucht wir haben das problem vor über 4 wochen den support gemeldet und noch kein feedback wenn man versucht unter der hotline anzurufen landet man bei einer privaten rufnummer bitte die nummer ändern oder löschen tolles produkt aber bringt einem die gewährleistung wenn man keine rückmeldung vom händler bekommttolles produkt schlechter service,44,17,0,1,0,97,674,6.0,0.0,0.0,0.0
B07MV3DYGJ,5.0,es gibt wohl keine bessere knete als die von playdoh unsere jüngste knetet auch schon es macht nix wenn mal ein krümel im mund landet super praktisch die knete wird stein hart wenn sie auf dem boden landet man saugt sie einfach nächsten tag auf auch eingetretene knete im teppich lässt sich mit wasser auswaschen daumen hochund wir kneten weiter,26,10,0,0,0,60,345,4.8,1.0,0.33,0.67
B07MV3DYGJ,5.0,super knete soll man da sagen glaube schon das 5 te set für uns immer wieder gernist ne super größe auch zum verschenken tolle farben und passt allestolle knete immer wieder gern,11,6,0,1,0,32,178,4.6,1.0,0.33,0.67
B07MV3DYGJ,5.0,wie jede andere knete von play doh bunt weich riecht schön toll für kinderknete,5,4,0,0,0,14,79,4.7,1.0,0.0,0.0
B07MV3DYGJ,5.0,eine beliebte ergänzung zu vorhandenem spielzeugwird von kleinen kindern gern genommen,3,1,0,0,0,11,86,6.9,1.0,0.0,0.0
B07MV3DYGJ,5.0,es war ein unschlagbarer preis für die beste knete bin seid meiner kindheit von play doh begeistertbeste qualität,8,2,0,0,0,18,113,5.3,1.0,0.0,0.0
B07MV3DYGJ,5.0,es macht meiner enkeltochter sehr viel spaß damit zu kneten sie ist sehr weich und die kreativität wird sehr stark gefördertpreis leistung passt perfekt,13,2,0,0,0,24,152,5.4,1.0,-0.2,0.6
B07MV3DYGJ,5.0,wartet auf jeden fall bis der pack im angebot ist dass ist regelmäßig der fall alle dosen werden sortiert tollen farben im original karton direkt geliefert die qualität ist wie immer bei playdoh ich kaufe nur das original weich knetbar und im topf einfach aufzubewahrentolle auswahl knete regelmäßig im angebot,22,8,0,0,0,50,310,5.2,1.0,0.38,0.75
B07MV3DYGJ,5.0,kann ich nur weiterempfehlensuper,3,0,0,0,0,4,33,7.5,1.0,0.0,0.0
B07MV3DYGJ,5.0,immer wieder ein tolles geschenk für kinder regt die phantasie anglitzerknete,4,2,0,0,0,11,77,6.1,1.0,0.0,0.0
B07MV3DYGJ,5.0,tolle konsitenzlässt sich leicht vom tisch lösenreste problemlos abwaschbarteuerknete,2,0,0,0,0,9,85,8.6,1.0,0.0,0.0
B07MV3DYGJ,3.0,leider sind im gegensatz zu der produktbeschreibung und abbildung keine 24 verschiedenen farben angekommenrot und orange ist doppelt das türkis ist sogar dreimal drin und das dunkelblau fehlt leider komplett wollte dir knete verschenken sie kam leider aber einem braunen karton jetzt muss ich mir noch einfallen lassenhabe mehr erwartet,22,5,0,1,0,50,336,5.7,0.0,0.0,0.0
B07MV3DYGJ,3.0,verpackung und inhalt alles bestens 3 sterne weil die farbauswahl wild zusammengewürfelt ist und mansche farben gefühlt 5 mal vorhanden sind mit minimalen unterschiedenbewertung,8,2,0,2,0,24,177,6.4,0.0,0.1,0.4
B07MV3DYGJ,3.0,die behälter sind sehr klein und dafür zum originalpreis zu teuersehr kleine behälter,6,0,0,0,0,13,85,5.6,0.0,0.0,0.0
B07MV3DYGJ,2.0,less one month became dry good quality friends bought another seller even years softbecome dry,0,4,0,0,0,15,94,5.3,0.0,0.1,0.47
B07MV3DYGJ,3.0,die lieferung erfolgte zügig die verpackung war ok und die zustellung durch den lieferservice war ohne beanstandung die beschreibung des artikels ist zutreffend ich bin mit der qualität zufriedender artikel entspricht meinen erwartungen ich bin damit zufrieden,20,6,0,0,0,37,260,6.1,0.0,0.5,0.5
B07MV3DYGJ,3.0,die süße glitzerknete sollte die augen eines kleinen geburtstagsmädchens zum leuchten bringen leider hat sich beim öffnen herausgestellt dass manche knetdosen doch schon sehr hart evtl überlagert waren das war sehr schade preisleistung ansonsten eigentlich ok aber es wäre schön wenn alle knetdosen für die man bezahlt auch eine 1aqualität hätten nicht umsonst kaufe ich ja beim namenhaften marktführer die lieferung war übrigens auch grottenschlecht zwei mal war ich zuhause zwei mal konnte ups mich leider nicht antreffen wers glaubt schluss durfte ich quer durch die stadt zum ups depotsüßes geschenk aber zum teil hart und überlagert,40,32,0,0,3,97,637,5.6,0.0,0.5,0.5
B07MV3DYGJ,3.0,auch wir haben die üblichen farben doppelt erhalten scheinen wohl über zu sein müssen wegtut der knete allerdings keinen abbruch den 2 jährigen stört es nichtallerdings sollte man dann nicht mit 24 farben werbenkeine 24 farben aber 24 pötte,17,7,0,4,0,39,240,5.2,0.0,0.0,0.0
B07MV3DYGJ,3.0,wir haben die knete heute erhalten leider auch einzeln einem braunen karton verpackt und 2 farben sind 3x vorhanden also nur 20 farben finde ich auch schade da 24 farben versprochen werden sollte man vielleicht abändern der beschreibungpreis ordnung,16,1,0,3,0,39,249,5.4,0.0,0.0,0.0
B07MV3DYGJ,2.0,die sind richtig klein ich dachte die große sind aber die sind wirklich weichsehr klein,8,3,0,0,0,15,87,4.9,0.0,0.0,0.0
B07MV3DYGJ,2.0,von der qualität lässt sich nichts bemängeln einfach tolle knetewie schon bereits bemängelt wurde sind einige farben doppelt entsprechen also nicht dem bild mit dem sie beworben werden durch die super gesamtbewertung hab ich nicht daran gedacht dir bewertungen durchzulesen und hab nicht mitbekommen dass wir gesagt die farben nicht denen auf dem bild entsprechendaher tatsächlich nur zwei punkte damit die leute aufmerksam darauf werden dass sie nicht das erhalten die bilder versprechenhochwertige knete keine 36 verschiedenen farben,38,13,0,1,0,78,535,5.9,0.0,0.33,0.67
B08T1VJ2L5,5.0,ein weihnachtsgeschenk das unterm baum liegen wird ich bin gespannt wie es dann gefallen wirdein weihnachtsgeschenk,8,2,0,0,0,16,115,6.2,1.0,0.0,0.0
B08T1VJ2L5,5.0,da dieses geschenk früher auf amazon als geschäften erhältlich war ist est super angekommentolles geschenk,6,2,0,0,0,15,106,6.1,1.0,0.33,0.67
B08T1VJ2L5,4.0,also ich habe jetzt einiges von paw patrol und muss sagen diese spielzeuge sind gut verarbeitet und den kindern macht es spaß damit zu spielen ich glaube mehr muss man zu den figuren nicht sagen ich würde definitiv nicht zu kopien greifen sondern die originale kaufenliebling der kinder,28,3,0,0,0,48,286,5.0,1.0,0.0,0.0
B08T1VJ2L5,5.0,bin zufriedenansich sehr schön verarbeitung ist auch gutfür den preis absolut topdas einzige stört das man die arme etwas auseinander ziehen muss damit er das lenkrad festhalten kannarme etwas nah aneinander für das lenkrad,16,0,0,0,0,34,223,5.6,1.0,0.0,0.0
B08T1VJ2L5,5.0,für kinder supersuper qualität und preis,2,0,0,0,0,6,40,5.8,1.0,0.0,0.0
B08T1VJ2L5,5.0,alles okalles ok,1,0,0,0,0,3,16,4.7,1.0,0.5,0.5
B08T1VJ2L5,4.0,das auto war ein geschenk für einen großen paw patrol fan und kam sehr gut anschönes auto,7,1,0,0,0,17,89,4.3,1.0,0.0,0.0
B08T1VJ2L5,5.0,sowohl mein sohn als auch meine tochter lieben die fahrzeuge von paw patrolsie sind extrem robust und halten es auch aus quer durch die wohnung geworfen zu werden mein sohn hat sie zum zweiten geburtstag bekommen und er spielt heute noch ein jahr später jeden tag damit robust gut verarbeitet keine kleinteile ohne angebotspreis relativ teuerlieblingsspielzeug ab zwei jahren,27,12,0,0,0,59,375,5.4,1.0,0.0,0.0
B08T1VJ2L5,4.0,aber sie sind wirklich viel zu teuerder kleine liebt die figuren,6,0,0,0,0,11,64,4.9,1.0,0.0,0.0
B08T1VJ2L5,5.0,das geburtstagskind hatte sich gefreutwar ein geschenk,4,1,0,0,0,7,54,6.9,1.0,0.0,0.0
B08LSDKWRW,5.0,tolle lieder die wir schon vor 30 jahren kannten unsere tochter liebt diesen tonie und kann schon nach 2 tagen alle lieder mitsingen sehr schöner tonie,10,5,0,2,0,26,151,4.8,1.0,0.0,0.0
B08LSDKWRW,5.0,ich habe lange nach diesen tollen tonie gesucht da ich die lieder schon für meine tochter hatte und nun für mein enkelkind nun kann die weihnachtszeit kommen da ich schon sehr früh bestellt habetoller tonie passend für die weihnachtszeit,22,4,0,0,0,39,237,5.1,1.0,0.0,0.0
